continent,location,total_cases,total_deaths,fully_vaccinated,population,gdp_per_capita,cases_per_million,deaths_per_million,fully_vaccinated_per_million
"North America","Sint Maarten (Dutch part)",NULL,NULL,1036837,44042,36327.232,NULL,NULL,23542005.3585
Europe,Slovakia,2644803,20557,132536683,5447622,30155.152,485496.7911,3773.5731,24329273.0296
Europe,Slovenia,1225660,6872,427704164,2119410,31400.84,578302.4521,3242.4118,201803409.4394
Oceania,"Solomon Islands",21547,154,4299258,707851,2205.923,30440.0220,217.5599,6073676.5223
Africa,"South Africa",4006789,101934,5581577778,59392255,12294.876,67463.1566,1716.2844,93978209.4147
Asia,"South Korea",25311635,29000,18015568233,51830139,35938.374,488357.4594,559.5200,347588653.6403
Africa,"South Sudan",17823,138,30107151,10748272,1569.888,1658.2200,12.8393,2801115.4723
Europe,Spain,13572857,115796,7679415943,47486935,34272.36,285822.9743,2438.4812,161716395.1095
Asia,"Sri Lanka",670994,16774,2978259335,21773441,11669.077,30817.0858,770.3881,136784045.0666
Africa,Sudan,63462,4965,37426344,45657202,4466.507,1389.9669,108.7452,819724.8706
"South America",Suriname,81158,1386,27999296,612984,13767.119,132398.2355,2261.0704,45677042.1414
Europe,Sweden,2608289,20818,500358889,10467097,46949.283,249189.3407,1988.8991,47803023.9903
Europe,Switzerland,4201711,14194,2754080821,8691406,57410.166,483432.8301,1633.1075,316874027.1712
Asia,Tajikistan,17786,125,111375554,9750064,2896.913,1824.1932,12.8204,11423058.7615
Africa,Tanzania,39679,845,208526328,63588334,2683.304,623.9981,13.2886,3279317.3666
Asia,Thailand,4699237,32997,17723350033,71601103,16277.671,65630.7906,460.8449,247529008.4987
Asia,Timor,23302,138,29166538,1320942,6570.102,17640.4414,104.4709,22080104.9554
Africa,Togo,39284,289,21272307,8644829,1429.813,4544.2194,33.4304,2460697.2561
Oceania,Tonga,16182,12,1408851,106017,5425.621,152635.8980,113.1894,13288915.9286
"North America","Trinidad and Tobago",184524,4241,230048296,1525663,28763.071,120946.7622,2779.7751,150785786.9005
Africa,Tunisia,1146617,29261,1107970656,12262946,10849.297,93502.5727,2386.1314,90351099.6460
Asia,Turkey,16096413,101203,22935591438,84775404,25129.341,189871.2627,1193.7779,270545351.0785
Asia,Turkmenistan,NULL,NULL,6628506,6341855,16389.023,NULL,NULL,1045199.8666
Oceania,Tuvalu,20,NULL,48846,11204,3575.104,1785.0768,NULL,4359692.9668
Africa,Uganda,169501,3636,241618628,45853778,1697.707,3696.5547,79.2955,5269328.6909
Europe,Ukraine,5583603,117686,1879694834,43531422,7894.393,128266.0373,2703.4724,43180184.5113
Asia,"United Arab Emirates",1035096,2348,1580391817,9365144,67293.483,110526.4372,250.7169,168752537.8147
Europe,"United Kingdom",23019314,208036,22455614318,67281040,39753.244,342136.7149,3092.0450,333758430.5772
"North America","United States",97198629,1068214,112562165822,336997624,54225.446,288425.2650,3169.7968,334014716.4420
"South America",Uruguay,988548,7510,1282238697,3426260,20551.409,288521.0112,2191.8944,374238585.8049
Asia,Uzbekistan,244450,1637,416513477,34081449,6253.104,7172.5237,48.0320,12221119.9706
Oceania,Vanuatu,11989,14,1701909,319136,2921.909,37567.0561,43.8684,5332864.3588
"South America",Venezuela,545593,5826,114076383,28199866,16745.022,19347.3614,206.5967,4045281.0308
Asia,Vietnam,10938047,43160,9056431727,97468028,6171.884,112221.8970,442.8119,92916948.3864
Asia,Yemen,11940,2158,8749298,32981641,1479.147,362.0196,65.4303,265277.8253
Africa,Zambia,333644,4017,323459579,19473125,3689.251,17133.5623,206.2843,16610563.4817
Africa,Zimbabwe,257899,5606,1286931352,15993524,1899.775,16125.2142,350.5169,80465778.0237
