location,population,total_cases,cases_per_million,total_deaths,deaths_per_million
Slovakia,5447622,2640491,484705.2530,20557,3773.5731
Slovenia,2119410,1225660,578302.4521,6872,3242.4118
"Solomon Islands",707851,21544,30435.7838,153,216.1472
Somalia,17065581,27225,1595.3163,1361,79.7512
"South Africa",59392255,4025375,67776.0930,102257,1721.7228
"South Korea",51830139,25311636,488357.4786,29000,559.5200
"South Sudan",10748272,17823,1658.2200,138,12.8393
Spain,47486935,13486386,284002.0313,114862,2418.8127
"Sri Lanka",21773441,670994,30817.0858,16774,770.3881
Sudan,45657202,63449,1389.6822,4965,108.7452
Suriname,612984,81158,132398.2355,1386,2261.0704
Sweden,10467097,2608289,249189.3407,20562,1964.4415
Switzerland,8691406,4201711,483432.8301,14042,1615.6189
Syria,21324367,57344,2689.1302,3163,148.3280
Taiwan,23859912,7450158,312245.8289,12323,516.4730
Tajikistan,9750064,17786,1824.1932,125,12.8204
Tanzania,63588334,39679,623.9981,845,13.2886
Thailand,71601103,4689897,65500.3457,32922,459.7974
Timor,1320942,23297,17636.6563,138,104.4709
Togo,8644829,39284,4544.2194,289,33.4304
Tokelau,1849,NULL,NULL,NULL,NULL
Tonga,106017,16182,152635.8980,12,113.1894
"Trinidad and Tobago",1525663,184524,120946.7622,4241,2779.7751
Tunisia,12262946,1146044,93455.8466,29257,2385.8052
Turkey,84775404,16919638,199581.9212,101203,1193.7779
Turkmenistan,6341855,NULL,NULL,NULL,NULL
"Turks and Caicos Islands",45114,6380,141419.5150,36,797.9785
Tuvalu,11204,20,1785.0768,NULL,NULL
Uganda,45853778,169396,3694.2648,3630,79.1647
Ukraine,43531422,5583603,128266.0373,117686,2703.4724
"United Arab Emirates",9365144,1035096,110526.4372,2348,250.7169
"United Kingdom",67281040,23855526,354565.3575,208497,3098.8968
"United States",336997624,97198630,288425.2679,1067686,3168.2301
"United States Virgin Islands",100091,NULL,NULL,NULL,NULL
Uruguay,3426260,988527,288514.8821,7510,2191.8944
Uzbekistan,34081449,244450,7172.5237,1637,48.0320
Vanuatu,319136,11976,37526.3211,14,43.8684
Vatican,511,29,56751.4677,NULL,NULL
Venezuela,28199866,545593,19347.3614,5820,206.3840
Vietnam,97468028,11496987,117956.4954,43159,442.8016
Wales,3170000,NULL,NULL,NULL,NULL
"Wallis and Futuna",11627,761,65451.1052,7,602.0470
"Western Sahara",565581,NULL,NULL,NULL,NULL
Yemen,32981641,11939,361.9893,2158,65.4303
Zambia,19473125,333644,17133.5623,4017,206.2843
Zimbabwe,15993524,257893,16124.8390,5606,350.5169
